12.5, 30, 0.5, 2026-06-02 14:22:18.579616, 2026-06-02 14:22:21.598482, 2026-06-02 14:22:26.600156
2.5, 60, 0.5, 2026-06-02 14:22:48.593881, 2026-06-02 14:22:54.729788, 2026-06-02 14:22:59.731077
11.5, 60, 0.5, 2026-06-02 14:23:05.258168, 2026-06-02 14:23:09.283295, 2026-06-02 14:23:14.285057
0, 0, 0.5, 2026-06-02 14:23:19.807913, 2026-06-02 14:23:24.841560, 2026-06-02 14:23:29.845448
14, 0, 0.5, 2026-06-02 14:23:35.370650, 2026-06-02 14:23:39.902796, 2026-06-02 14:23:44.905057
1.5, 30, 0.5, 2026-06-02 14:23:50.429035, 2026-06-02 14:23:56.465316, 2026-06-02 14:24:01.469822
0, 0, 0.5, 2026-06-02 14:26:38.935023, 2026-06-02 14:26:46.522798, 2026-06-02 14:26:51.526117
14, 0, 0.5, 2026-06-02 14:26:57.126032, 2026-06-02 14:27:00.581372, 2026-06-02 14:27:05.582392
1.5, 30, 0.5, 2026-06-02 14:27:11.108794, 2026-06-02 14:27:15.637354, 2026-06-02 14:27:20.639687
12.5, 30, 0.5, 2026-06-02 14:27:26.179744, 2026-06-02 14:27:30.699157, 2026-06-02 14:27:35.700595
2.5, 60, 0.5, 2026-06-02 14:27:41.230706, 2026-06-02 14:27:47.262097, 2026-06-02 14:27:52.262939
0, 0, 0.5, 2026-06-02 14:35:18.164711, 2026-06-02 14:35:20.986784, 2026-06-02 14:35:25.989650
14, 0, 0.5, 2026-06-02 14:35:31.557628, 2026-06-02 14:35:36.044019, 2026-06-02 14:35:41.045336
1.5, 30, 0.5, 2026-06-02 14:35:46.577747, 2026-06-02 14:35:52.605456, 2026-06-02 14:35:57.609997
12.5, 30, 0.5, 2026-06-02 14:36:03.153046, 2026-06-02 14:36:07.666842, 2026-06-02 14:36:12.669025
2.5, 60, 0.5, 2026-06-02 14:36:18.195219, 2026-06-02 14:36:24.231019, 2026-06-02 14:36:29.234471
11.5, 60, 0.5, 2026-06-02 14:36:34.775244, 2026-06-02 14:36:38.787008, 2026-06-02 14:36:43.792708
0, 0, 0.5, 2026-06-02 14:36:49.323531, 2026-06-02 14:36:57.358426, 2026-06-02 14:37:02.361659
14, 0, 0.5, 2026-06-02 14:37:07.899201, 2026-06-02 14:37:12.416632, 2026-06-02 14:37:17.418662
